user_id,username,email,password_hash,id_role,created_at
8dbca25f-e975-47a9-99d9-ed123857f889,user_c1394779,user_c1394779@example.com,hashed_password,2,2025-01-03T20:21:07.365909
0179a87b-f36c-42a9-a729-3ea896d1df7a,user_f2713e65,user_f2713e65@example.com,hashed_password,2,2025-07-01T20:21:07.366095
65b78b12-68da-404e-a35f-6338f00a8f73,user_f5dcb77b,user_f5dcb77b@example.com,hashed_password,2,2025-09-22T20:21:07.366132
1da8593e-02b7-491e-b7a7-62250b29a6b1,user_99968b4d,user_99968b4d@example.com,hashed_password,2,2025-09-06T20:21:07.366154
c1d489bb-e6ea-45d0-ab40-d7f8335b5381,user_209ea756,user_209ea756@example.com,hashed_password,2,2025-06-30T20:21:07.366173
3fe9d90f-2f13-4941-a1cc-06e34d353efe,user_e3685b4a,user_e3685b4a@example.com,hashed_password,2,2025-10-08T20:21:07.366230
82efa484-daaf-493f-96c8-facf311820e9,user_634c69dc,user_634c69dc@example.com,hashed_password,2,2025-09-29T20:21:07.366264
57976b26-754c-418d-b8ad-008f7d9fc0f4,user_02ed2b7d,user_02ed2b7d@example.com,hashed_password,2,2025-05-01T20:21:07.366290
6b72e080-9262-47ce-b766-c71d8fa1c437,user_9963fa55,user_9963fa55@example.com,hashed_password,2,2025-11-04T20:21:07.366308
f8d75557-d896-4d12-8a70-bb256ca3fa63,user_4996df61,user_4996df61@example.com,hashed_password,2,2025-01-04T20:21:07.366325
15cb61f5-8248-4d81-9d4d-8fcd14df22df,user_1492dc8e,user_1492dc8e@example.com,hashed_password,2,2025-11-16T20:21:07.366343
38c2ab68-2d14-4a2b-bfa5-b5b9ea28e309,user_fb4836d6,user_fb4836d6@example.com,hashed_password,2,2025-11-01T20:21:07.366362
46297aa1-5106-4a02-a75e-8a0183d03a77,user_e4e69ecb,user_e4e69ecb@example.com,hashed_password,2,2025-08-07T20:21:07.366380
1716c76a-decb-483d-82d5-9812d44aafeb,user_136c5605,user_136c5605@example.com,hashed_password,2,2024-12-21T20:21:07.366397
06087538-e842-430e-a958-71aef0a0d721,user_9c63832b,user_9c63832b@example.com,hashed_password,2,2024-12-26T20:21:07.366415
075886ca-364c-4d81-a8eb-6393f0f13df5,user_3b7e1b01,user_3b7e1b01@example.com,hashed_password,2,2025-06-18T20:21:07.366432
5bdc5ed5-f138-4b5c-9d18-ef71fa768cac,user_e54e6bbd,user_e54e6bbd@example.com,hashed_password,2,2025-10-02T20:21:07.366471
f4613389-7e43-406e-8f29-631008a8e25f,user_fd548346,user_fd548346@example.com,hashed_password,2,2025-09-18T20:21:07.366489
56c732a6-36b8-4a82-a699-707932c094e2,user_f97a3706,user_f97a3706@example.com,hashed_password,2,2025-11-23T20:21:07.366506
9f325c4d-12c1-4a90-87d1-67831bfd824e,user_8eaffaf6,user_8eaffaf6@example.com,hashed_password,2,2025-01-25T20:21:07.366522
e59d5313-9a32-4fac-843f-aa59d861b389,user_ebb25ce5,user_ebb25ce5@example.com,hashed_password,2,2024-12-18T20:21:07.366540
9503ae09-8ad6-4270-a0de-3b455d6ca766,user_d6c8d5be,user_d6c8d5be@example.com,hashed_password,2,2025-11-07T20:21:07.366556
8dc10bf6-ba4d-436a-bf92-2f9bd1120d42,user_b9631ac7,user_b9631ac7@example.com,hashed_password,2,2025-07-17T20:21:07.366573
