id,user_id,token,created_at
68628,8dbca25f-e975-47a9-99d9-ed123857f889,fcm_token_2e7577da-46fb-437c-bd7b-fd22d90685bb,2025-12-04T20:21:07.405600
12084,0179a87b-f36c-42a9-a729-3ea896d1df7a,fcm_token_0a60454d-139a-40df-901a-82de5fca8f34,2025-12-04T20:21:07.405671
44611,65b78b12-68da-404e-a35f-6338f00a8f73,fcm_token_46d937b3-0c9a-47b1-9973-b8033affcedc,2025-12-04T20:21:07.405695
7958,1da8593e-02b7-491e-b7a7-62250b29a6b1,fcm_token_66f1dd27-db67-4ca4-b645-e0038a7aac63,2025-12-04T20:21:07.405713
46214,c1d489bb-e6ea-45d0-ab40-d7f8335b5381,fcm_token_945a09de-4364-4b81-a2b0-f8554dd5821a,2025-12-04T20:21:07.405730
45534,3fe9d90f-2f13-4941-a1cc-06e34d353efe,fcm_token_0c9b5e36-1694-445a-8aff-b4cd1b844a5a,2025-12-04T20:21:07.405748
10238,82efa484-daaf-493f-96c8-facf311820e9,fcm_token_d71771d1-13d5-4ae5-b7f2-74f2bc1e485e,2025-12-04T20:21:07.405764
60564,57976b26-754c-418d-b8ad-008f7d9fc0f4,fcm_token_3d647c8e-9418-4273-9a95-8d4078fba0f2,2025-12-04T20:21:07.405790
6482,6b72e080-9262-47ce-b766-c71d8fa1c437,fcm_token_ac6e5357-4fd0-4b67-93a7-a477d90c4609,2025-12-04T20:21:07.405809
3321,f8d75557-d896-4d12-8a70-bb256ca3fa63,fcm_token_6b373670-f7b3-4bb1-a6e8-1b286a7c1da0,2025-12-04T20:21:07.405826
72870,15cb61f5-8248-4d81-9d4d-8fcd14df22df,fcm_token_d0296d54-d519-42e1-a63f-56e48e85013d,2025-12-04T20:21:07.405841
16948,38c2ab68-2d14-4a2b-bfa5-b5b9ea28e309,fcm_token_5957c8ab-8fbe-457f-8ded-bb6f67b58ed8,2025-12-04T20:21:07.405863
91261,46297aa1-5106-4a02-a75e-8a0183d03a77,fcm_token_006476d2-23a0-45a3-ae30-3095e746e7c0,2025-12-04T20:21:07.405880
37722,1716c76a-decb-483d-82d5-9812d44aafeb,fcm_token_126389dd-c8ae-4e5c-9af8-6a757e0544a3,2025-12-04T20:21:07.405908
56208,06087538-e842-430e-a958-71aef0a0d721,fcm_token_f5761e3e-8265-43fb-aef7-c98c0a51a37f,2025-12-04T20:21:07.405930
13001,075886ca-364c-4d81-a8eb-6393f0f13df5,fcm_token_1e3f23a3-f1fc-4124-9c80-632facb06578,2025-12-04T20:21:07.405945
24508,5bdc5ed5-f138-4b5c-9d18-ef71fa768cac,fcm_token_96bfd5ce-be06-47d2-8dbc-04f6bc17865f,2025-12-04T20:21:07.405960
95813,f4613389-7e43-406e-8f29-631008a8e25f,fcm_token_f468e6ca-b738-4db3-b9e6-32eefd019190,2025-12-04T20:21:07.405977
80045,56c732a6-36b8-4a82-a699-707932c094e2,fcm_token_f4c93401-17ae-4b86-8351-39e9452783bd,2025-12-04T20:21:07.405992
11898,9f325c4d-12c1-4a90-87d1-67831bfd824e,fcm_token_9b959ab4-8e12-4159-b5dc-299e083aa3de,2025-12-04T20:21:07.406006
23279,e59d5313-9a32-4fac-843f-aa59d861b389,fcm_token_bbd50e83-2732-41cb-8a9e-e1b67071721d,2025-12-04T20:21:07.406021
89189,9503ae09-8ad6-4270-a0de-3b455d6ca766,fcm_token_fd9b572c-86a3-42b8-9367-33999ddfc817,2025-12-04T20:21:07.406035
32093,8dc10bf6-ba4d-436a-bf92-2f9bd1120d42,fcm_token_abda73c1-ee14-456c-8625-4ad1995196bc,2025-12-04T20:21:07.406053
47201,f039e5b1-6c01-44aa-93f7-e15cf447559e,fcm_token_3e6fcbf6-fc16-4148-9c95-409d5f69e36d,2025-12-04T20:21:07.406072
23038,32c06428-2a34-4832-907e-7c7d1940d5fe,fcm_token_de8c2f9e-1dc7-4bc6-9278-51bfd22c77eb,2025-12-04T20:21:07.406090
82910,5b6a4e8f-aa70-447d-8397-bd8433d2dace,fcm_token_db628736-912a-4ac1-bd06-d9085111bd51,2025-12-04T20:21:07.406107
74092,6c8b9a1e-9b86-4b57-abb7-1d8586a262fa,fcm_token_fabd1bae-cf9b-4f7d-bea3-c2cacc906e13,2025-12-04T20:21:07.406135
21873,158bf0a7-b6d1-4106-85ad-4908754adb1c,fcm_token_0c246536-b129-4e1d-8569-68b5d6837298,2025-12-04T20:21:07.406155
3790,f7f6e7bd-d28f-4a63-92bd-17216d52e242,fcm_token_d5f9d858-e317-445c-a5ee-28d458c06722,2025-12-04T20:21:07.406172
9788,e012b34a-ff52-454f-8034-fcd114b8877d,fcm_token_b24b0618-ff6c-4552-9523-088e3c550132,2025-12-04T20:21:07.406210
65606,6c7f6aa0-b2cb-4c14-a389-1c2d17ff191c,fcm_token_94e7e5ba-194f-409b-81f1-acc836ac283f,2025-12-04T20:21:07.406235
51489,d69c7f34-8e53-4b82-a32c-3694088a7010,fcm_token_2b025059-d51f-4998-b449-0c5d10509a59,2025-12-04T20:21:07.406256
50341,fd10e53b-ca9b-426d-b685-23073763ccf7,fcm_token_4c932cf7-0e03-4b89-bc34-6191561390df,2025-12-04T20:21:07.406275
50433,f7cd5c19-a2a3-428b-967d-fba3081dbfc8,fcm_token_0ef142ba-5445-477b-98ae-44bcf05ee05d,2025-12-04T20:21:07.406291
42821,302ae994-64e1-4734-95f9-25dd2112f235,fcm_token_e518290e-55f7-465c-832a-890fd017c0af,2025-12-04T20:21:07.406305
25784,78b497bf-b9ce-434a-8350-fd1cda726a11,fcm_token_286bbb6b-9823-46ed-9405-f9e86a3984ae,2025-12-04T20:21:07.406321
84384,cbd11332-f1d1-4ae4-9634-d7711add17ea,fcm_token_cfb4b56e-e755-4c37-b349-0254734ed755,2025-12-04T20:21:07.406338
11381,b150ca33-c298-4efc-9d47-4d92936216b5,fcm_token_bad4a6ce-5ec8-4dc1-afb9-bec574c56a3b,2025-12-04T20:21:07.406354
34398,67b152da-afa1-42be-bc1d-7a2e6324468a,fcm_token_2c8c7325-6bea-46fe-9614-5857d074410d,2025-12-04T20:21:07.406370
38691,a1ffa7a3-184e-46e6-a217-57a15dacf703,fcm_token_513392c9-158c-4a9c-ab74-20800010a956,2025-12-04T20:21:07.406399
63310,0513d3b9-e73b-40e2-a774-f96f699072ed,fcm_token_f07bfe12-eded-4192-b371-fe8b2732bca4,2025-12-04T20:21:07.406417
59068,51bc06ca-657c-4566-ae9c-b7bc68353d6e,fcm_token_3483ce1d-5cc5-486d-a9db-ae6872a4a1b6,2025-12-04T20:21:07.406439
55395,c736bd2a-3435-4a87-98ee-5e1dd745c9c8,fcm_token_8eedf196-1654-4182-9080-113f09c2a85a,2025-12-04T20:21:07.406457
60233,caf7d64e-e794-4e14-8915-354f0994977d,fcm_token_110566d7-fbbf-45c2-a3a7-198e93714c9f,2025-12-04T20:21:07.406475
65155,bc75fe6c-72e1-49b1-bdb6-decb7185589c,fcm_token_46979098-a1c3-4e2a-97c9-c370467df695,2025-12-04T20:21:07.406492
63577,b14282d1-b4eb-480c-a2f7-12b884d95762,fcm_token_47e3e3b4-b558-4f08-aa73-b1c9d7bc4f01,2025-12-04T20:21:07.406508
90616,2b0ee8f9-d823-43b4-8dd1-7278a3eda18a,fcm_token_f0a582d9-ba33-4cb9-a51a-4bc7dcf5731e,2025-12-04T20:21:07.406524
50565,34d0f9a1-9ea2-4bdc-9b0c-3b968d3bd158,fcm_token_570ed316-8b97-47dc-b36f-5d138486f201,2025-12-04T20:21:07.406543
73830,83d1bcc1-806a-4976-89e9-83b9c58800bf,fcm_token_0a438864-39c5-4a1c-9471-c8ef33e8044d,2025-12-04T20:21:07.406562
23680,4e4e7f81-70c2-4b02-87d6-8835fcc59ed0,fcm_token_64373431-32e2-4a66-9b24-a4328ce6f6e1,2025-12-04T20:21:07.406576
81398,d176be7a-e16d-4c17-8d63-11f1af834799,fcm_token_15ee67e3-e6f3-47f0-a0ee-3ec300c8096a,2025-12-04T20:21:07.406596
23906,edf440c4-ad11-4f06-9430-d84ed0cca9a2,fcm_token_e3426a62-6a79-4223-a566-9a0cae101cff,2025-12-04T20:21:07.406615
91959,1980a2fe-4ebb-4791-a5ef-49d7d6b580b3,fcm_token_cfdbd8d5-eaa4-4fee-81e2-4932eed3ec4d,2025-12-04T20:21:07.406630
56933,b78bf928-856c-437e-8fda-d21033030fff,fcm_token_e6a603ed-3564-4434-a903-ae0c4a157406,2025-12-04T20:21:07.406644
29290,23e1b99a-b93e-4030-ba37-9fec1143e2ff,fcm_token_639769ca-5771-4f25-ae7f-0229c718d6a1,2025-12-04T20:21:07.406655
14295,4e04692d-9fe3-426c-b55a-60792b81f31c,fcm_token_797348b2-234b-4f43-ae6b-e40bfc01d60b,2025-12-04T20:21:07.406667
23484,78bb4fe6-6973-48ca-adb8-9ea2533592e3,fcm_token_c2b882a9-2ae9-4e47-9932-19acb7fbfd62,2025-12-04T20:21:07.406678
64705,b379ebfd-6706-4257-b5fd-76713942f762,fcm_token_b29e14f0-6758-4be8-ad57-3ca160f39e75,2025-12-04T20:21:07.406689
72975,7e4b2c13-8e8d-43b4-bfec-f2f8d90ed30a,fcm_token_498abc99-e34f-446c-95bf-b53d321f66b3,2025-12-04T20:21:07.406700
1748,5a244468-44a1-4f83-b4d9-448685b68e66,fcm_token_e0c62376-18f2-4e4e-b606-d71600cdaebd,2025-12-04T20:21:07.406711
79819,be2b988e-8a8f-4252-aebc-143d4487b41e,fcm_token_55ea7f7a-a4c6-441d-9eff-1aee22a08e88,2025-12-04T20:21:07.406723
71870,cd38c724-2ac0-4681-ae31-518ed4e68c12,fcm_token_8f2fb0c9-243c-44d0-9ec8-5a3fe69314cf,2025-12-04T20:21:07.406734
32008,b0d89ff7-b900-441e-b9e9-7691636b0733,fcm_token_f1be50d0-0669-45f0-9a45-52e9ebe07f3f,2025-12-04T20:21:07.406745
50335,0aafea6a-2ac7-46e3-80eb-f464bf7fdc84,fcm_token_8c6de202-102a-4d4d-b62b-b668be67196b,2025-12-04T20:21:07.406755
15997,4529daff-b3fa-4b93-b884-60d4920d5741,fcm_token_3996a502-0590-44fa-92cc-ebf17f705cd1,2025-12-04T20:21:07.406767
92406,2d3884a3-f082-4034-8b34-3900db2d9681,fcm_token_d54b599e-7491-4d77-89cb-60264a9ac62a,2025-12-04T20:21:07.406779
53047,80d20732-f595-46d3-bea2-21727ce79e65,fcm_token_f3fb9b96-e67e-41bf-937e-70f8501f5f75,2025-12-04T20:21:07.406790
9145,089708e3-751f-4e53-ae1a-7948e3514471,fcm_token_3900af75-33a8-4557-bd81-e634d8c01543,2025-12-04T20:21:07.406801
6903,2ae90c56-5b2a-42cb-866e-f4821a753b92,fcm_token_e11bd35f-c5ec-404c-bd33-42e15668c5ae,2025-12-04T20:21:07.406811
59811,ac49967b-e04c-4895-9c82-0521805da47b,fcm_token_a7cc4fc9-72a6-45ce-bcd0-baf5a0ed5c27,2025-12-04T20:21:07.406832
84030,934ef14c-094f-433a-baee-47446d1e89f7,fcm_token_8a8f1efb-610f-4c36-a88b-2d08af69f01f,2025-12-04T20:21:07.406846
96258,58d9bdc5-acc2-4511-bb0a-28855ca0ede9,fcm_token_3a5bf08c-b41a-4abe-8990-5d5863c3e31d,2025-12-04T20:21:07.406866
2689,86df34db-97be-49ce-886d-74639fb2977e,fcm_token_dc7e854a-8261-4858-8950-4262853b0506,2025-12-04T20:21:07.406876
81086,638f5049-061b-42cf-9959-7257a1c90fa0,fcm_token_f2db35ed-1feb-4691-9a26-d3cac4307a7a,2025-12-04T20:21:07.406887
73655,7faf3780-35ff-40d3-b108-df3fae7c49ee,fcm_token_66a52b87-e454-48c3-b1c4-7d18a0520b99,2025-12-04T20:21:07.406897
38843,f0f0a07d-6ea1-43c4-994a-bc42690dd246,fcm_token_c67e4cdc-4a04-48f5-ab15-b1e91c68ce07,2025-12-04T20:21:07.406908
90721,5ecdfcae-8870-4790-bb47-3a4fffc0a2ae,fcm_token_fb0c7ebf-04ed-42d4-a84e-9127af9b7ea7,2025-12-04T20:21:07.406919
52790,80084142-d732-40b1-99fa-bd1df467947a,fcm_token_eea30a41-c1fd-438b-9533-6310939ab3ce,2025-12-04T20:21:07.406935
65249,b19049ca-37da-4458-b878-f64bb111dbf4,fcm_token_89feebee-9ce1-4898-a17f-f221785c1279,2025-12-04T20:21:07.406946
